"Game.Coins","동전:"
"Game.Continue","계속"
"Game.Diamonds","다이아몬드:"
"Game.Level","레벨 :"
"Game.Lose","당신은 분실!"
"Game.Menu","메인 메뉴"
"Game.MoveBot","이동하는 방법"
"Game.MoveTop","여기에 터치"
"Game.Pause","이 게임은 일시 정지"
"Game.Score","점수:"
"Game.Skill","스킬:"
"Game.Tutorial11","안녕하세요, 닌자에 오신 것을 환영합니다"
"Game.Tutorial12","전쟁. 나는 선생님 담보권 해요."
"Game.Tutorial13","이제 훈련을 시작합시다."
"Game.Tutorial21","하여 화면을 스크롤"
"Game.Tutorial22","오른쪽 누르거나"
"Game.Tutorial23","화면의 왼쪽."
"Game.Tutorial31","이것은 닌자 나무입니다."
"Game.Tutorial32","오니가하려고하는"
"Game.Tutorial33","그것을 파괴한다."
"Game.Tutorial41","고용하여 방어"
"Game.Tutorial42","닌자! 닌자를 누릅니다"
"Game.Tutorial43","닌자를 배포하는 아이콘입니다."
"Game.Tutorial51","동전을 얻기 위해 오니 패배!"
"Game.Tutorial52","에 동전을 눌러"
"Game.Tutorial53","를 수집합니다."
"Game.Tutorial61","오니 포털을 파괴"
"Game.Tutorial62","수준을 완료합니다."
"Game.Tutorial71","완전한 수준"
"Game.Tutorial72","잃어버린 확보"
"Game.Tutorial73","다이아몬드."
"Game.Tutorial81","다이아몬드가 사용될 수있다"
"Game.Tutorial82","새로운 구입"
"Game.Tutorial83","단위."
"Game.Tutorial91","새로운 소득 시작"
"Game.Tutorial92","이 다이아몬드 단위입니다."
"Game.Upgrade","업그레이드"
"Game.Win","당신은 원!"
"Menu.Achievements","성과"
"Menu.Back","뒤로"
"Menu.Cleared","게임 해제"
"Menu.Connected","연결 유지"
"Menu.Credits","크레딧"
"Menu.EraseBot","게임 데이터"
"Menu.EraseTop","모두 지우기"
"Menu.Games","더 많은 게임"
"Menu.Leaderboards","리더"
"Menu.Loading","로드"
"Menu.LogoBot","오니의 공격"
"Menu.LogoTop","닌자 전쟁 :"
"Menu.No","없음"
"Menu.Options","옵션"
"Menu.Play","플레이"
"Menu.QuitBot","다시 종료"
"Menu.QuitTop","뒤로를 눌러"
"Menu.Reset","데이터 재설정"
"Menu.ResetBot","물론?"
"Menu.ResetTop","당신도"
"Menu.SoundOff","사운드해제"
"Menu.SoundOn","사운드에"
"Menu.Upgrades","업그레이드"
"Menu.Yes","예"
"Results.BonusScore","보너스 점수 :"
"Results.BonusSkill","보너스 스킬 :"
"Results.EveryBot","다섯 다이아몬드 적립"
"Results.EveryTop","재생 공유"
"Results.RateBot","텐 다이아몬드 적립"
"Results.RateTop","게임 평가"
"Results.RateUs","평가"
"Results.Thanks","감사합니다"
"Results.TotalScore","총 점수 :"
"Results.TotalSkill","총 스킬 :"
"Upgrades.Attack","공격 :"
"Upgrades.Buy","구매"
"Upgrades.ChainSickle","체인과 겸상"
"Upgrades.CoinMiner","동전 광부"
"Upgrades.DiamondsNeeded","다이아몬드의 잠금을 해제 할 필요가 있었다."
"Upgrades.HandClaws","손 발톱"
"Upgrades.HP","건강 :"
"Upgrades.Locked","잠김"
"Upgrades.LongBow","롱 보우"
"Upgrades.MaxLevel","최대 수준에 도달"
"Upgrades.NinjaTree","닌자 탑"
"Upgrades.NotEnoughDiamonds","충분하지 다이아몬드"
"Upgrades.NotEnoughSkill","충분하지 않습니다 스킬"
"Upgrades.Nunchuck","수녀 척"
"Upgrades.OutOf","서비스의 아웃"
"Upgrades.PickSomething","뭔가를 선택"
"Upgrades.Refinement","제련 업그레이드"
"Upgrades.Refining","동전 정제"
"Upgrades.Sai","잘못된"
"Upgrades.SkillNeeded","스킬이 필요 :"
"Upgrades.SpeedUpgrade","속도 업그레이드"
"Upgrades.StoneWall","돌 벽"
"Upgrades.Sword","검"
"Upgrades.Throwing","별을 던지는"
"Upgrades.Tutorial11","이 업그레이드하다"
"Upgrades.Tutorial12","화면"
"Upgrades.Tutorial21","이제 칼을 업그레이드"
"Upgrades.Tutorial22","를 선택하여 닌자"
"Upgrades.Tutorial23","버튼을 눌러"
"Upgrades.Tutorial24","'업그레이드'."
"Upgrades.Tutorial31","좋아! 그럼 이제 그만"
"Upgrades.Tutorial32","오늘 나를 위해 교육."
"Upgrades.Tutorial33","거기에 행운을 빕니다."
"Upgrades.Unlocked","잠금 해제"
"Upgrades.WoodStaff","목재 직원"
